Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r3n6_7ffff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_12cb7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003dfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165996ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165b96ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000007fff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_fffff,-1.0,-1.0,-1.0,-1.0,-1
r1n7_7f,-1.0,-1.0,-1.0,-1.0,-1
r0n2_1,-1.0,-1.0,-1.0,-1.0,-1
r0n3_1,-1.0,-1.0,-1.0,-1.0,-1
r0n4_1,-1.0,-1.0,-1.0,-1.0,-1
r0n5_1,-1.0,-1.0,-1.0,-1.0,-1
r0n6_1,-1.0,-1.0,-1.0,-1.0,-1
r0n7_1,-1.0,-1.0,-1.0,-1.0,-1
r1n7_01,-1.0,-1.0,-1.0,-1.0,-1
r1n7_07,-1.0,-1.0,-1.0,-1.0,-1
r1n7_0f,-1.0,-1.0,-1.0,-1.0,-1
r1n7_1f,-1.0,-1.0,-1.0,-1.0,-1
r1n7_3f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00000f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00001f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0000c6,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0000c7,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0001ce,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0003de,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00198f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_003b9c,-1.0,-1.0,-1.0,-1.0,-1
r2n7_007fbf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_007fff,-1.0,-1.0,-1.0,-1.0,-1
