Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r1n7_0f,-1.0,-1.0,0.844103373,-1.0,-1
r1n7_1f,-1.0,-1.0,221.119306255,-1.0,-1
r1n7_3f,-1.0,-1.0,3923.566104708,-1.0,-1
r2n7_00000f,-1.0,-1.0,56.821344588,-1.0,-1
r2n7_00001f,-1.0,-1.0,483.362152693,-1.0,-1
r2n7_0000c6,-1.0,-1.0,1.341729533,-1.0,-1
r2n7_0000c7,-1.0,-1.0,1.770345288,-1.0,-1
r2n7_0001ce,-1.0,-1.0,1.608674119,-1.0,-1
r2n7_0003de,-1.0,-1.0,3.440323619,-1.0,-1
r2n7_00198f,-1.0,-1.0,2.32101203,-1.0,-1
r2n7_003b9c,-1.0,-1.0,57.555911186,-1.0,-1
r2n7_007fbf,-1.0,-1.0,6.066332954,-1.0,-1
r2n7_007fff,-1.0,-1.0,59.877664497,-1.0,-1
r2n7_01b3de,-1.0,-1.0,5.299897846,-1.0,-1
r2n7_01b3df,-1.0,-1.0,4.822353624,-1.0,-1
r2n7_01bbdf,-1.0,-1.0,61.837779173,-1.0,-1
r2n7_03f73f,-1.0,-1.0,58.411473054,-1.0,-1
r2n7_03f7fe,-1.0,-1.0,3.920867806,-1.0,-1
r2n7_03f7ff,-1.0,-1.0,4.157994985,-1.0,-1
r2n7_03ffff,-1.0,-1.0,60.942303444,-1.0,-1
r2n7_0f7fbf,-1.0,-1.0,3.442903807,-1.0,-1
r2n7_0fffff,-1.0,-1.0,622.01686117,-1.0,-1
r2n7_1fffff,-1.0,-1.0,43676.136678871,-1.0,-1
r3n4_f,-1.0,-1.0,55.553929844,-1.0,-1
r3n7_000000001,-1.0,-1.0,313.450427281,-1.0,-1
r3n7_000000007,-1.0,-1.0,208.289690787,-1.0,-1
r3n7_00000000f,-1.0,-1.0,376.144951634,-1.0,-1
r3n7_00000001f,-1.0,-1.0,714.625796452,-1.0,-1
r3n7_000000023,-1.0,-1.0,146.659974695,-1.0,-1
r3n7_000000066,-1.0,-1.0,177.505188701,-1.0,-1
r3n7_0000000ee,-1.0,-1.0,255.151258706,-1.0,-1
r3n7_0000000ef,-1.0,-1.0,251.567079829,-1.0,-1
r3n7_0000001fe,-1.0,-1.0,254.981866225,-1.0,-1
r3n7_0000001ff,-1.0,-1.0,358.539439094,-1.0,-1
r3n7_000000267,-1.0,-1.0,328.226121231,-1.0,-1
r3n7_0000006cf,-1.0,-1.0,255.859226615,-1.0,-1
r3n7_0000006ef,-1.0,-1.0,339.018450165,-1.0,-1
r3n7_000000fdc,-1.0,-1.0,1314.27304908,-1.0,-1
r3n7_000000fdf,-1.0,-1.0,341.060708746,-1.0,-1
r3n7_0000016ef,-1.0,-1.0,1434.156365565,-1.0,-1
r3n7_000003dff,-1.0,-1.0,469.464237521,-1.0,-1
r3n7_000003fff,-1.0,-1.0,675.636228989,-1.0,-1
r3n7_0000380ee,-1.0,-1.0,551.297613825,-1.0,-1
r3n7_0000380ef,-1.0,-1.0,480.309639239,-1.0,-1
r3n7_0000781fe,-1.0,-1.0,594.817257421,-1.0,-1
r3n7_0000781ff,-1.0,-1.0,903.605935117,-1.0,-1
r3n7_000098263,-1.0,-1.0,367.507226774,-1.0,-1
r3n7_000098267,-1.0,-1.0,579.29288863,-1.0,-1
r3n7_0001b06c0,-1.0,-1.0,1375.11543373,-1.0,-1
r3n7_0001b06c3,-1.0,-1.0,295.107778793,-1.0,-1
r3n7_0001b06cf,-1.0,-1.0,406.594898705,-1.0,-1
r3n7_0001b86e3,-1.0,-1.0,615.66963341,-1.0,-1
r3n7_0001b86ef,-1.0,-1.0,768.556362603,-1.0,-1
r3n7_0003f0fc0,-1.0,-1.0,783.672600311,-1.0,-1
r3n7_0003f0fdc,-1.0,-1.0,927.158426091,-1.0,-1
r3n7_0003f0fdf,-1.0,-1.0,449.021755384,-1.0,-1
r3n7_0003f8fe3,-1.0,-1.0,557.138162547,-1.0,-1
r3n7_0003f8ffd,-1.0,-1.0,436.81189139,-1.0,-1
r3n7_0003f8fff,-1.0,-1.0,1073.389140539,-1.0,-1
r3n7_000f7bde7,-1.0,-1.0,340.15363409,-1.0,-1
r3n7_000f7bdfe,-1.0,-1.0,1442.143927132,-1.0,-1
r3n7_000f7bdff,-1.0,-1.0,1033.504214393,-1.0,-1
r3n7_000ffbfe0,-1.0,-1.0,795.662794095,-1.0,-1
r3n7_000ffbfe7,-1.0,-1.0,455.746721261,-1.0,-1
r3n7_000ffbffb,-1.0,-1.0,620.638702665,-1.0,-1
r3n7_000ffbfff,-1.0,-1.0,1458.763028476,-1.0,-1
r3n7_001ffffe0,-1.0,-1.0,2295.046318022,-1.0,-1
r3n7_001ffffef,-1.0,-1.0,1129.773821876,-1.0,-1
r3n7_001ffffff,-1.0,-1.0,5366.564436386,-1.0,-1
r3n7_002098267,-1.0,-1.0,3656.171101152,-1.0,-1
r3n7_0061b06ef,-1.0,-1.0,645.170451377,-1.0,-1
r3n7_0061b86ef,-1.0,-1.0,1688.326953464,-1.0,-1
r3n7_00e3f0fdc,-1.0,-1.0,5214.587635199,-1.0,-1
r3n7_00e3f0fff,-1.0,-1.0,1399.829828107,-1.0,-1
r3n7_00e3f8fff,-1.0,-1.0,2460.728304188,-1.0,-1
r3n7_0165996ad,-1.0,-1.0,6569.678651346,-1.0,-1
r3n7_0165996af,-1.0,-1.0,1751.234796205,-1.0,-1
r3n7_0165b96ef,-1.0,-1.0,6536.438476489,-1.0,-1
r3n7_03cf03dfe,-1.0,-1.0,3488.703042518,-1.0,-1
r3n7_03cf1bd9f,-1.0,-1.0,870.720332438,-1.0,-1
r3n7_03cf7bdfe,-1.0,-1.0,3294.49220487,-1.0,-1
r3n7_03cf7bdff,-1.0,-1.0,1909.293036874,-1.0,-1
r3n7_03ef9bfbd,-1.0,-1.0,1635.152078637,-1.0,-1
r3n7_03ef9bfbf,-1.0,-1.0,1378.388679976,-1.0,-1
r3n7_03ef9bfff,-1.0,-1.0,1911.567818157,-1.0,-1
r3n7_03efebfba,-1.0,-1.0,1355.122967742,-1.0,-1
r3n7_03efebfdf,-1.0,-1.0,1242.111664755,-1.0,-1
r3n7_03efebfff,-1.0,-1.0,1165.309109704,-1.0,-1
r3n7_03effbffe,-1.0,-1.0,1381.468949579,-1.0,-1
r3n7_03effbfff,-1.0,-1.0,3391.675151776,-1.0,-1
r3n7_07ff87ffe,-1.0,-1.0,1327.186638424,-1.0,-1
r3n7_07ffbfeee,-1.0,-1.0,3759.234983143,-1.0,-1
r3n7_07ffbff7b,-1.0,-1.0,2914.517132535,-1.0,-1
r3n7_07ffbff7f,-1.0,-1.0,1418.10534401,-1.0,-1
r3n7_07ffbffff,-1.0,-1.0,2389.21570664,-1.0,-1
r3n7_07ffffffe,-1.0,-1.0,2794.581505845,-1.0,-1
r3n7_07fffffff,-1.0,-1.0,10536.096646632,-1.0,-1
r3n7_0965b96ef,-1.0,-1.0,66570.123649797,-1.0,-1
r3n7_1bcffbffb,-1.0,-1.0,1991.468768428,-1.0,-1
r3n7_1bcffbfff,-1.0,-1.0,2413.628819147,-1.0,-1
r3n7_1beffbfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eefd7f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eefdff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eeffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7effd6f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7effdfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7effdff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7efffbf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7efffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7ffffef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7fffff7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7ffffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3ffff7fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3ffffffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eefd6f,-1.0,-1.0,-1.0,-1.0,-1
