Name,Aut_bases_-1_timed,Aut_circuits_6_timed,Aut_bases_-1,Aut_bases_-1_max_deg,Aut_circuits_6,Aut_circuits_6_max_deg,Aut_circuits_-1,Aut_circuits_-1_max_deg,Aut_bases_6_timed,Aut_bases_6,Aut_bases_6_max_deg
r2n6_001f,17.514892397,14.092098454,false,3,false,3,false,3,,,
r2n6_0023,0.416784498,0.122044336,true,2,true,2,true,3,,,
r2n6_0066,0.513767804,0.046838831,false,2,false,2,false,2,,,
r2n6_0067,0.616013686,0.139729234,true,2,true,3,true,3,,,
r2n6_00ee,0.654036497,0.09606531,true,2,true,2,true,2,,,
r2n6_00ef,0.84177375,0.349941433,true,2,true,3,true,3,,,
r2n6_01fe,1.050767027,0.768150752,false,3,false,3,false,3,,,
r2n6_01ff,1.058835905,1.440804768,false,3,false,3,false,3,,,
r2n6_0267,1.15660619,2.092228613,false,3,true,3,true,3,,,
r2n6_06cf,0.825228919,0.596541326,false,2,false,2,false,3,,,
r2n6_06ef,1.015433435,1.507200172,true,2,true,3,true,3,,,
r2n6_0fdc,0.835675947,0.678842235,false,2,false,2,false,2,,,
r2n6_0fdf,0.752551107,0.9315958,true,2,true,2,true,3,,,
r2n6_0fff,0.832647555,3.354231827,true,2,true,3,true,3,,,
r2n6_16ef,23.894623456,31.996265376,false,3,true,4,true,4,,,
r2n6_3dfe,0.919039667,13.52292457,false,3,false,3,false,3,,,
r2n6_3dff,0.600035161,3.837964639,false,2,false,3,false,3,,,
r2n6_3fff,1.207000885,10.792826296,false,3,true,3,true,3,,,
r2n6_7fff,1951.709409144,1339.211795736,false,3,true,5,true,5,,,
r2n7_000001,21.065091689,23.951007753,false,3,false,3,,,17.449272138,false,3
r2n7_000003,0.670536919,0.506341133,false,3,false,3,,,1.089336787,false,3
r2n7_000007,0.6816349,0.070191058,true,2,true,2,,,0.347913522,true,2
r2n7_00000f,,1.351606213,false,3,false,3,,,1.625552826,false,3
r2n7_00001f,,33.586868476,false,3,false,3,,,,,
r2n7_00003f,3814.087091797,259.090696053,false,3,false,3,,,245.011249968,false,3
r2n7_000043,0.99354055,0.69488346,false,3,false,3,,,1.407521258,false,3
r2n7_0000c6,,0.081608474,false,2,false,2,,,1.490521424,false,2
r2n7_0000c7,,0.245158814,true,2,true,3,,,0.662341175,true,2
r2n7_0001ce,,0.133431031,true,2,true,2,,,0.846318701,true,2
r2n7_0001cf,1.411781676,0.833016579,true,2,true,3,,,0.646932733,true,2
r2n7_0003de,,1.032671338,false,3,false,3,,,1.522261826,false,3
r2n7_0003df,4.195714295,1.944032731,false,3,false,3,,,3.012541022,false,3
r2n7_0007fe,29.137838784,43.611274136,false,3,false,3,,,26.708162737,false,3
r2n7_0007ff,31.709942005,40.82677241,false,3,false,3,,,,,
r2n7_0008c7,1.496576896,1.660593985,false,3,true,3,,,3.349559368,false,3
r2n7_00198f,,0.936713059,false,2,false,2,,,0.721210811,false,2
r2n7_0019cf,1.641016392,4.46832468,true,2,true,3,,,0.980382273,true,2
r2n7_003b9c,,1.771583264,false,2,false,2,,,4.92924712,false,2
