Name,length,rank,Aut_B,Aut_C,Aut_B_stored,Aut_B_extra,Aut_C_extra,Aut_B_timed,Aut_C_stored
r1n2_3,2,1,true,true,true,true,true,0.093414023,true
r1n2_1,2,1,true,true,true,true,true,0.00071849,true
r1n3_7,3,1,true,true,true,true,true,0.070516828,true
r1n3_3,3,1,true,true,true,true,true,0.003596861,true
r1n3_1,3,1,true,true,true,true,true,0.003258046,true
r1n4_f,4,1,false,false,true,false,false,0.181399337,true
r1n4_3,4,1,false,false,true,false,false,0.011858639,true
r1n4_7,4,1,true,true,true,true,true,0.015096035,true
r1n4_1,4,1,true,true,true,true,true,0.012103202,true
r2n4_01,4,2,false,false,true,false,false,0.025327721,true
r2n4_0b,4,2,true,true,true,true,true,0.059652611,true
r2n4_07,4,2,true,true,true,true,true,0.125256727,true
r2n4_1e,4,2,false,false,true,false,false,0.049616108,true
r2n4_3f,4,2,false,true,true,false,true,0.268979766,true
r2n4_1f,4,2,false,true,true,false,true,0.050895836,true
r2n4_03,4,2,true,true,true,true,true,0.041944118,true
r1n5_01,5,1,false,false,true,false,false,0.20193982,true
r1n5_03,5,1,false,false,true,false,false,0.035692838,true
r1n5_0f,5,1,false,false,true,false,false,0.210333427,true
r1n5_1f,5,1,false,false,true,false,false,15.501375537,true
r1n5_07,5,1,false,false,true,false,false,0.036168404,true
r2n5_036,5,2,false,false,true,false,false,0.238709474,true
r2n5_001,5,2,false,false,true,false,false,0.075041978,true
r2n5_07e,5,2,false,false,true,false,false,0.21948521,true
r2n5_00f,5,2,false,false,true,false,false,0.382498896,true
r2n5_037,5,2,false,true,true,false,true,0.286693832,true
